No_,Description,Base Unit of Measure,Inventory Posting Group,Gen_ Prod_ Posting Group,Global Dimension 1 Code,Global Dimension 2 Code,Item Category Code
1DLT0012,Royal Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1DLT0013,Special Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1DLT0014,Supreme Mutton Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1DLT0016,Single Veg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1DLT0020,Veg Dum Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1DLT0021,Biryani Raita ,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1DLT0027,Mirchi Ka Salan,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1DLT0074,Chicken Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1DLT0075,Egg Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10102
1DLT0078,Mutton Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1DLT0080,Veg Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1DLT0122,Chettinadu Murgh Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1DLT0123,Chicken Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1DLT0132,Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1DLT0135,Morraccan Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1DLT0136,Takeaway Chicken Kebab Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1DLT0137,Tandoori Chicken ( Full),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1DLT0145,Paneer Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1DLT0165,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1DLT0170,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1DUMMY001,2 Delicious roll combos,PORTION,FINISHGOOD,FINISHGOOD,,,10102
1GG00189,Falooda,PORTION,FINISHGOOD,FINISHGOOD,,,18109
1GG00190,Fresh Lime Soda,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1GG00191,Plain Lassi,PORTION,FINISHGOOD,FINISHGOOD,,,18109
1GG00192,Extra (Double) Masala ,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GG00193,Extra Biryani Rice,PORTION,FINISHGOOD,FINISHGOOD,,,11104
1GG00196,Masala Thumbs Up,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1GG00197,Fresh Lime Soda,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1GG00199,Fresh Lime Soda,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1GGCD001,Mini Chicken Biryani Combo,,FINISHGOOD,FINISHGOOD,,,10100
1GGCD002,RCB with Thumsup 750 Ml FREE,,FINISHGOOD,FINISHGOOD,,,10100
1GGCD003,RMB with Thumsup 750 Ml FREE,,FINISHGOOD,FINISHGOOD,,,10101
1GGCT001,RCB with Chicken Tikka,,FINISHGOOD,FINISHGOOD,,,10100
1GGCT002,RCB with Chicken Garlic,,FINISHGOOD,FINISHGOOD,,,10100
1GGCT003,RCB with Chicken Reshmi,,FINISHGOOD,FINISHGOOD,,,10100
1GGCT004,RCB with Chicken Kalmi,,FINISHGOOD,FINISHGOOD,,,10100
1GGCT005,RCB with 50% off on  2nd RCB,,FINISHGOOD,FINISHGOOD,,,10100
1GGD0002,Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0003,Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0004,Supreme Chicken Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0007,Special Non-veg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11104
1GGD0008,Egg  Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1GGD0011,Nizami Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGD0012,Royal Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGD0014,Supreme Mutton Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGD0020,Veg Dum Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GGD0021,Biryani Raita,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGD0026,Green Salad,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGD0027,Mirchi Ka Salan,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGD0032,Papad Masala,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGD0033,Papad Roasted,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGD0035,Plain Curd,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGD0036,Chicken 65,PORTION,FINISHGOOD,FINISHGOOD,,,14100
1GGD0066,Paneer 65,PORTION,FINISHGOOD,FINISHGOOD,,,14103
1GGD0081,Butter Chicken Boneless,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1GGD0087,Chicken Tikka Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1GGD0090,Paradise Special Chicken,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1GGD0091,Tandoori Chicken Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1GGD0092,Boiled Egg,PCS,FINISHGOOD,FINISHGOOD,,,11102
1GGD0102,Paradise Special Mutton,PORTION,FINISHGOOD,FINISHGOOD,,,13101
1GGD0107,Dal Fry,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGD0108,Dal Makhani,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGD0110,Kadai Paneer,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGD0111,Kadai Vegetable,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGD0115,Nizami Handi,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGD0116,Palak Paneer,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGD0117,Paneer Butter Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGD0118,Paneer Jalfrezi,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGD0120,Aachari Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0121,Achaari Chutney Murgh Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0122,Chettinadu Murgh Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0123,Chicken Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0125,Chicken Kalmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0126,Kalmi Kebab Half,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0127,Chicken Kebab Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0128,Chicken Reshmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0131,Chicken Sheek Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0132,Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0133,Chicken Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0134,Lal Mirchi Murgh Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0135,Morraccan Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0137,Tandoori Chicken ( Full),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0138,Tandoori Chicken ( Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0139,Mutton Sheek Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12101
1GGD0141,Fish Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12105
1GGD0143,Hariyali Veg Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1GGD0145,Paneer Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1GGD0155,Aloo Paratha,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGD0156,Butter Naan,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGD0157,Butter Roti,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGD0158,Garlic Naan,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGD0160,Plain Naan,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGD0162,Pudina Paratha,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGD0164,Tandoori Roti,PCS,FINISHGOOD,FINISHGOOD,,,15103
1GGD0165,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGD0168,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGD0170,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGD0176,Tea,PORTION,FINISHGOOD,FINISHGOOD,,,18108
1GGD0178,Coca Cola Fountain ,PCS,FINISHGOOD,FINISHGOOD,,,18113
1GGD0179,Sprite Fountain ,PCS,FINISHGOOD,FINISHGOOD,,,18113
1GGD0180,Thums Up Fountain ,PCS,FINISHGOOD,FINISHGOOD,,,18113
1GGD0181,Sweet Lime Juice,PORTION,FINISHGOOD,FINISHGOOD,,,18115
1GGD0184,Vegetable Samosa,PCS,FINISHGOOD,FINISHGOOD,,,19111
1GGD0185,Mutton Samosa,PCS,FINISHGOOD,FINISHGOOD,,,19111
1GGD0190,Chicken 65 Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0191,Mutton Kheema Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0192,Fish Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0193,Soya Kheema Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0194,Chicken Kheema Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0195,Royal Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0196,Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGD0197,Nizami Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1GGD0198,Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11104
1GGD0199,Veg  Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0200,Supreme Chicken Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGD0201,Supreme Mutton Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1GGD0202,Egg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GGD0210,Special Non-veg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGD0216,Fresh Limes/ Nimbu,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGD0217,Fresh Onion,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGD0248,Paneer Tikka Kebab - (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12103
1GGD0249,Hariyali Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0250,Chicken Malai Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0251,Turkish Seekh Kabab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0252,Chicken Mustard Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0254,Cajun Paneer Tikka,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1GGD0255,Festival Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0256,Chicken Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0266,Chicken Garlic kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0269,Chettinadu kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0270,Chicken Reshmi kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0272,Nizami Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0273,Royal Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0274,Chicken Fiery Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0278,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGD0279,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGD0280,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGD0282,Chicken Fiery Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0283,Special Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0284,Special Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0293,Dakshin-E-Khaas Nizami Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0294,Dakshin-E-Khaas Royal Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0295,Dakshin-E-Khaas Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0304,Peri Peri Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0305,Peri Peri Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGD0306,Peri Peri Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0332,Mutton Haleem Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1GGD0337,Kebab Roll - Chicken Tikka,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGD0338,Kebab Roll - Paneer Tikka,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1GGD0339,Egg Roll,PORTION,FINISHGOOD,FINISHGOOD,,,12107
1GGDIC001,Paradise Chicken Feast ,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGDIC002,Paradise Chicken Treat,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGDIC003,Paradise Veg Feast ,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1GGDIC004,Paradise Veg Treat,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1GGDIC005,Couples Combo,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP055,Royal Chicken Biryani With Fiery Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP056,Nizami Chicken Biryani With Fiery Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP057,Royal Fiery Biryani With Fiery Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP058,Special Veg Biryani With Paneer Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10103
1GGNUP059,Royal Chicken Biryani With Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP060,Royal Chicken Biryani With Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP061,Nizami Chicken Biryani With Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP062,Nizami Chicken Biryani With Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP063,Royal Chicken Fiery Biryani With Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP064,Royal Chicken Fiery Biryani With Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP065,Special Veg Biryani With Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1GGNUP066,Special Veg Biryani With Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1GGNUP071,Mini Chicken Biryani With Dakshin Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP073,Mini Mutton Biryani With Half Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1GGNUP074,RCB And HalfChicken TikkaKebab With Coke,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP075,NCB And Chicken Tikka kebab With 2 Coke,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP076,2 NCB And Chicken Tikka kebab With 4 Coke,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGNUP083,Royal Chicken with Chicken Tikka Kebab Roll,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGT0001,Chicken Biryani Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0002,Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0003,Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0004,Special Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0005,Supreme Chicken Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0008,Egg  Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1GGT0009,Single Egg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1GGT0010,Mutton Biryani Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0011,Nizami Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0012,Royal Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0013,Special Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0014,Supreme Mutton Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0016,Single Veg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GGT0018,Veg  Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GGT0019,Veg Biryani Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GGT0020,Veg Dum Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GGT0021,Biryani Raita ,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGT0027,Mirchi Ka Salan,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGT0036,Chicken 65,PORTION,FINISHGOOD,FINISHGOOD,,,14100
1GGT0066,Paneer 65,PORTION,FINISHGOOD,FINISHGOOD,,,14103
1GGT0074,Chicken Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGT0075,Egg Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10102
1GGT0078,Mutton Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1GGT0080,Veg Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1GGT0081,Butter Chicken Boneless,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1GGT0087,Chicken Tikka Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1GGT0090,Paradise Special Chicken,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1GGT0091,Tandoori Chicken Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1GGT0102,Paradise Special Mutton,PORTION,FINISHGOOD,FINISHGOOD,,,13101
1GGT0107,Dal Fry,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGT0108,Dal Makhani,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGT0110,Kadai Paneer,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGT0111,Kadai Vegetable,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGT0115,Nizami Handi,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGT0116,Palak Paneer,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGT0117,Paneer Butter Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGT0118,Paneer Jalfrezi,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1GGT0120,Aachari Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0121,Achaari Chutney Murgh Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0122,Chettinadu Murgh Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0123,Chicken Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0125,Chicken Kalmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0126,Kalmi Kebab Half,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0128,Chicken Reshmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0130,Mini Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0131,Chicken Sheek Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0132,Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0133,Chicken Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0134,Lal Mirchi Murgh Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0135,Morraccan Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0136,Takeaway Chicken Kebab Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0137,Tandoori Chicken (Full),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0138,Tandoori Chicken (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0139,Mutton Sheek Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12101
1GGT0141,Fish Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12105
1GGT0145,Paneer Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1GGT0156,Butter Naan,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGT0157,Butter Roti,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGT0158,Garlic Naan,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGT0160,Plain Naan,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1GGT0164,Tandoori Roti,PCS,FINISHGOOD,FINISHGOOD,,,15103
1GGT0165,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGT0168,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGT0170,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGT0176,Tea,PORTION,FINISHGOOD,FINISHGOOD,,,18108
1GGT0184,Vegetable Samosa,PCS,FINISHGOOD,FINISHGOOD,,,19111
1GGT0185,Mutton Samosa,PCS,FINISHGOOD,FINISHGOOD,,,19111
1GGT0188,Chicken Tikka Kebab 3PCS,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0195,Royal Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0196,Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0197,Nizami Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GGT0198,Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0199,Veg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0200,Supreme Chicken Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1GGT0201,Supreme Mutton Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11104
1GGT0202,Egg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11104
1GGT0204,Chicken Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1GGT0205,Egg Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10102
1GGT0206,Mutton Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1GGT0207,Veg Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1GGT0208,Special Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0209,Special Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0216,Single Egg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1GGT0217,Veg Biryani Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GGT0218,Mutton Biryani Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0219,Chicken Biryani Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0220,Single Veg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1GGT0221,Mini Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0248,Paneer Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12103
1GGT0249,Hariyali Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0250,Chicken Malai Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0251,Turkish Seekh Kabab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0252,Chicken Mustard Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0254,Cajun Paneer Tikka,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1GGT0255,Festival Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0256,Chicken Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0266,Chicken Garlic kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0269,Chettinadu kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0270,Chicken Reshmi kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0272,Nizami Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0273,Royal Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0274,Chicken Fiery Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0278,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGT0279,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGT0280,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1GGT0282,Chicken Fiery Kebab - (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0293,Dakshin-E-Khaas Nizami Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0294,Dakshin-E-Khaas Royal Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0295,Dakshin-E-Khaas Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0300,Dakshin-E-Khaas Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0304,Peri Peri Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0305,Peri Peri Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1GGT0306,Peri Peri Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1GGT0320,Mini Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1GGT0332,Mutton Haleem Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1GGT0336,Addon Onion and Lime,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1GGT0337,Kebab Roll - Chicken Tikka,PORTION,FINISHGOOD,FINISHGOOD,,,12100
