Actual Item Code,Item Name,Corrected Name,Sub-Category,Category,Category for Incentive,Veg/Non veg,Chicken/Mutton,Value Offering Cat,Value Offering Sub-Cat,Innovation,Innovation Sub-cat,Unique,Combos to be excl for Item count report,ad
1VZD0132,Chicken Tikka Kebab,Chicken Tikka Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0137,Tandoori Chicken ( Full),Tandoori Chicken ( Full),Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0138,Tandoori Chicken ( Half),Tandoori Chicken ( Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0139,Mutton Sheek Kebab,Mutton Sheek Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0145,Paneer Tikka Kebab,Paneer Tikka Kebab,Kebabs,Kebabs,Kebabs,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0141,Fish Tikka Kebab,Fish Tikka Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Fish,NULL,NULL,Innovation,Jashn-e-Kebab 2023,NULL,NULL,NULL
1VZD0081,Butter Chicken Boneless,Butter Chicken Boneless,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0083,Chicken Curry,Chicken Curry,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0084,Chicken Kandhari,Chicken Kandhari,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0085,Chicken Masala,Chicken Masala,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0086,Chicken Nawabi,Chicken Nawabi,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0087,Chicken Tikka Masala,Chicken Tikka Masala,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0088,Kadai Chicken,Kadai Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0089,Murg Masalam,Murg Masalam,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0091,Tandoori Chicken Masala,Tandoori Chicken Masala,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0098,Kheema Masala,Kheema Masala,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
